metal,noise_type,snr_db,n_seeds,baseline_MAPE_mid,baseline_CI_lo,baseline_CI_hi,noise_MAPE_mid,noise_CI_lo,noise_CI_hi,delta_abs,delta_abs_CI_lo_t,delta_abs_CI_hi_t,delta_abs_CI_lo_boot,delta_abs_CI_hi_boot,delta_pct,delta_pct_CI_lo,delta_pct_CI_hi,t_statistic,p_value_ttest,wilcoxon_stat,p_value_wilcoxon_exact,cohen_dz,rank_biserial,alternative
Cd,gaussian,30,20,40.41580152505091,37.182847690533386,43.64875535956843,17.916630169732432,16.00886823706601,19.824392102398853,-22.499171355318474,-25.83122587801301,-19.167116832623936,-25.640052722765603,-19.60364227484032,-54.923231212051306,-59.98501630933988,-49.86144611476273,-14.132814013155317,7.807541192151113e-12,0.0,9.5367431640625e-07,-3.160193284677689,-1.0,less
Cd,student_t,30,20,40.41580152505091,37.182847690533386,43.64875535956843,15.393529054156991,14.429864542422886,16.357193565891095,-25.02227247089391,-28.088834089933787,-21.955710851854032,-27.982529059629073,-22.409201232549226,-61.21585416705663,-64.23498416137132,-58.19672417274194,-17.078482249424386,2.750694328895225e-13,0.0,9.5367431640625e-07,-3.8188647262236444,-1.0,less
Cd,pink,30,20,40.41580152505091,37.182847690533386,43.64875535956843,14.64044145715834,13.350863236127577,15.930019678189105,-25.775360067892564,-29.257261050930687,-22.29345908485444,-29.0287021742874,-22.66988855719337,-62.827006352527505,-67.37206141163239,-58.28195129342262,-15.493964043187905,1.5543457815676393e-12,0.0,9.5367431640625e-07,-3.464555684150564,-1.0,less
Cd,hetero,30,20,40.41580152505091,37.182847690533386,43.64875535956843,18.000573541710473,15.819833433606819,20.18131364981413,-22.41522798334043,-25.811500014686626,-19.018955951994233,-25.509487902530715,-19.36432628034043,-54.76868397191902,-60.48183069588975,-49.05553724794829,-13.813855580814758,1.1613352225243343e-11,0.0,9.5367431640625e-07,-3.0888720110066643,-1.0,less
Cd,gaussian_pink,30,20,40.41580152505091,37.182847690533386,43.64875535956843,15.94220145871257,14.338719088165918,17.54568382925922,-24.473600066338335,-28.06656181932864,-20.88063831334803,-27.98537986834788,-21.414315315882067,-59.682443500484325,-64.33813109501051,-55.02675590595814,-14.256715533969109,6.7050458967436986e-12,0.0,9.5367431640625e-07,-3.1878985069832138,-1.0,less
Cd,gaussian_student_t,30,20,40.41580152505091,37.182847690533386,43.64875535956843,16.23548637393608,14.984040438128728,17.486932309743434,-24.180315151114826,-27.392702929296057,-20.967927372933595,-27.171842677337356,-21.337942219246138,-58.975451060859214,-63.22128027143079,-54.729621850287636,-15.754630122241938,1.1570486575315972e-12,0.0,9.5367431640625e-07,-3.5228423913698794,-1.0,less
Cd,gaussian_hetero,30,20,40.41580152505091,37.182847690533386,43.64875535956843,18.771901477039044,16.158239498086324,21.385563455991765,-21.643900048011858,-24.824589112043682,-18.463210983980034,-24.51150656031404,-18.72412919242647,-53.33053801430223,-59.25422163897379,-47.406854389630666,-14.242575278412598,6.822169167201011e-12,0.0,9.5367431640625e-07,-3.184736649718856,-1.0,less
Cd,pink_student_t,30,20,40.41580152505091,37.182847690533386,43.64875535956843,16.599677230107925,14.986266055888326,18.213088404327525,-23.816124294942984,-27.551302126270098,-20.08094646361587,-27.420649848445894,-20.61756698569604,-57.837417539940134,-62.88975640344998,-52.78507867643029,-13.345474642202444,2.1098512652481926e-11,0.0,9.5367431640625e-07,-2.9841388491964347,-1.0,less
Cd,gaussian_pink_student_t,30,20,40.41580152505091,37.182847690533386,43.64875535956843,15.794337722190969,14.378143568486468,17.21053187589547,-24.621463802859942,-28.19316834165672,-21.049759264063166,-28.041657607280733,-21.548237757633988,-59.93084161221018,-64.65180581847423,-55.20987740594612,-14.428213597838244,5.44104431190795e-12,0.0,9.5367431640625e-07,-3.2262466398653125,-1.0,less
Pb,gaussian,30,20,10.170446489931864,9.979675741919209,10.361217237944519,9.786769550765325,9.408526588812224,10.165012512718425,-0.3836769391665388,-0.7610393001236073,-0.006314578209470234,-0.7268718658840496,-0.03577500097444799,-3.71046769705434,-7.366297705086698,-0.05463768902198218,-2.128047590015639,0.04664302352487858,54.0,0.058258056640625,-0.4758459070629572,-0.4857142857142857,two-sided
