metal,condition,seed,feature,group,perm,builtin,shap
Cd,clean,42,amp_mean,mean,0.7869907663558939,0.002208468752057049,
Cd,clean,42,amp_std,std,0.08428165463736284,0.0033116236886060716,
Cd,clean,42,pos_mean,mean,0.07338523174952302,0.0006180377482299926,
Cd,clean,42,pos_std,std,0.0005248194399325668,0.0006094380316327907,
Cd,clean,42,wid_mean,mean,21.496101398492907,0.6852961649496023,
Cd,clean,42,wid_std,std,0.0,0.0010105549528119648,
Cd,clean,42,area_mean,mean,0.42812357701257114,0.005159530978364958,
Cd,clean,42,area_std,std,0.004440166369907855,0.0007981344591566627,
Cd,clean,42,skew_mean,mean,0.9597862102230359,0.04184172004044913,
Cd,clean,42,skew_std,std,0.07079853330734161,0.0018432281921886586,
Cd,clean,42,snr_mean,mean,3.5519637106665174,0.007546633981213899,
Cd,clean,42,snr_std,std,0.04090010645759118,0.0004628095963458535,
Cd,clean,42,bl_mean,mean,7.430210984636967,0.24706757025879122,
Cd,clean,42,bl_std,std,0.026299002908269403,0.0011460205178373656,
Cd,clean,42,amp_cv,cv,0.048608084433402574,0.0004875756164731161,
Cd,clean,42,pos_cv,cv,0.005138943509520794,0.00022545684186281613,
Cd,clean,42,area_cv,cv,0.0030212909772821817,0.0003670313943762662,
Cd,augmented,42,amp_mean,mean,1.053668436221183,0.004123968656426654,
Cd,augmented,42,amp_std,std,0.65976079019671,0.020787226166557555,
Cd,augmented,42,pos_mean,mean,0.041949168878207925,0.0007781621718939602,
Cd,augmented,42,pos_std,std,0.005376147790119673,0.0001361827702560716,
Cd,augmented,42,wid_mean,mean,22.181049822572028,0.6693767722626163,
Cd,augmented,42,wid_std,std,0.0023682514629075335,0.002217707822480483,
Cd,augmented,42,area_mean,mean,1.224070984707284,0.010293849528197703,
Cd,augmented,42,area_std,std,0.6292270919963652,0.02651574254460926,
Cd,augmented,42,skew_mean,mean,0.3221442313950168,0.025636882951744353,
Cd,augmented,42,skew_std,std,0.018266761091125495,0.00671870043492428,
Cd,augmented,42,snr_mean,mean,0.43935592715417116,0.004206408221085515,
Cd,augmented,42,snr_std,std,0.06149467476200689,0.0005821437750879856,
Cd,augmented,42,bl_mean,mean,5.6276421577741305,0.22461421840353638,
Cd,augmented,42,bl_std,std,0.10191663205008497,0.0009003081554131608,
Cd,augmented,42,amp_cv,cv,0.010318273426428886,0.0016229185688360827,
Cd,augmented,42,pos_cv,cv,0.008336416834156668,0.0004112255054057318,
Cd,augmented,42,area_cv,cv,0.021203569447546495,0.0010775820609286253,
Pb,clean,42,amp_mean,mean,13.891785611109986,0.8677398919262838,
Pb,clean,42,amp_std,std,0.05265035289994271,0.0006687065747948105,
Pb,clean,42,pos_mean,mean,0.1356489223182224,0.015107519936930835,
Pb,clean,42,pos_std,std,0.0017994691358024894,0.0002496918818411749,
Pb,clean,42,wid_mean,mean,0.10792857052523552,0.001694830353627964,
Pb,clean,42,wid_std,std,0.015083409008953686,0.00011327544305358576,
Pb,clean,42,area_mean,mean,2.62867599838984,0.027351367939714395,
Pb,clean,42,area_std,std,0.03910889601831844,0.0018818513379544194,
Pb,clean,42,skew_mean,mean,0.07366850003339151,0.003280094664494648,
Pb,clean,42,skew_std,std,0.21004731047408493,0.0011276699481849721,
Pb,clean,42,snr_mean,mean,3.0407829298275404,0.05531386490887956,
Pb,clean,42,snr_std,std,0.04730567721441666,0.006027522673795786,
Pb,clean,42,bl_mean,mean,0.13840690560530938,0.010355124211147166,
Pb,clean,42,bl_std,std,0.024854178602373166,0.005460225510012189,
Pb,clean,42,amp_cv,cv,0.030739973301185986,0.0001425892101988857,
Pb,clean,42,pos_cv,cv,0.0032451395061728894,0.0003000680878456079,
Pb,clean,42,area_cv,cv,0.7768316965809208,0.0031857053912403236,
Pb,augmented,42,amp_mean,mean,13.288827035129477,0.8668187023714915,
Pb,augmented,42,amp_std,std,0.03391348095727158,0.0003922895943257141,
Pb,augmented,42,pos_mean,mean,0.10885614952103251,0.014734675383154972,
Pb,augmented,42,pos_std,std,1.191085991267578,0.001955270435206525,
Pb,augmented,42,wid_mean,mean,0.36314444244054017,0.0012486939723652462,
Pb,augmented,42,wid_std,std,0.03509390430706316,0.00020681054284342216,
Pb,augmented,42,area_mean,mean,2.750613770390389,0.028662447113850843,
Pb,augmented,42,area_std,std,0.2080896204427209,0.005043180235260354,
Pb,augmented,42,skew_mean,mean,0.012371040292639648,0.002152617188588975,
Pb,augmented,42,skew_std,std,0.02419582288473058,0.00011502172397457081,
Pb,augmented,42,snr_mean,mean,3.5513039340431107,0.051437612460334965,
Pb,augmented,42,snr_std,std,0.04271378871892752,0.010901090791240901,
Pb,augmented,42,bl_mean,mean,0.04261864841871465,0.010929584432432757,
Pb,augmented,42,bl_std,std,0.1443077459596113,0.0046821374639644895,
Pb,augmented,42,amp_cv,cv,0.010159771848858957,6.74789372462028e-05,
Pb,augmented,42,pos_cv,cv,0.1254000422760916,0.0004701035248194723,
Pb,augmented,42,area_cv,cv,0.007469252422375278,0.00018228382889912993,
Cd,clean,7,amp_mean,mean,0.7078218600344496,0.003434275265308084,
Cd,clean,7,amp_std,std,0.0688079540489437,0.0015003526079057005,
Cd,clean,7,pos_mean,mean,0.10664711622297099,0.001090234490020414,
Cd,clean,7,pos_std,std,0.029988754906102456,0.0006040336513164911,
Cd,clean,7,wid_mean,mean,20.188440206822087,0.688106116502687,
Cd,clean,7,wid_std,std,0.0005824432098766597,0.001924032625507805,
Cd,clean,7,area_mean,mean,1.514020379479285,0.01363265188505045,
Cd,clean,7,area_std,std,0.019901180282517618,0.0012127479385622157,
Cd,clean,7,skew_mean,mean,0.341021498819306,0.026810989763542112,
Cd,clean,7,skew_std,std,0.044088134439240534,0.008232378775696414,
Cd,clean,7,snr_mean,mean,3.0900409959773745,0.004015602607619308,
Cd,clean,7,snr_std,std,0.16720371383110216,0.001078323115700008,
Cd,clean,7,bl_mean,mean,6.936778106314892,0.24107089983539018,
Cd,clean,7,bl_std,std,0.05975787834377425,0.001057178094544446,
Cd,clean,7,amp_cv,cv,0.09835902505879521,0.0012198105566059408,
Cd,clean,7,pos_cv,cv,0.002210584718210029,0.0005134699128609228,
Cd,clean,7,area_cv,cv,0.0,0.004496902371682511,
Cd,augmented,7,amp_mean,mean,2.079065307386493,0.006082186221613964,
Cd,augmented,7,amp_std,std,0.32332621901183345,0.014728246041839017,
Cd,augmented,7,pos_mean,mean,0.1921165506209168,0.0008842715845099603,
Cd,augmented,7,pos_std,std,0.0016849714184159204,0.0002585595838175615,
Cd,augmented,7,wid_mean,mean,19.346798219683784,0.5987193737266757,
Cd,augmented,7,wid_std,std,0.10003962435985521,0.040019300089742325,
Cd,augmented,7,area_mean,mean,2.7615891322629436,0.03329952988284143,
Cd,augmented,7,area_std,std,0.41498403510009735,0.023868186349780475,
Cd,augmented,7,skew_mean,mean,0.3157676282083975,0.025037106031675263,
Cd,augmented,7,skew_std,std,0.1944888285464063,0.001720568524973292,
Cd,augmented,7,snr_mean,mean,0.31327360527534964,0.0031647888797139774,
Cd,augmented,7,snr_std,std,0.0447705852298908,0.0006951121580394088,
Cd,augmented,7,bl_mean,mean,4.661783558679448,0.24712679225967682,
Cd,augmented,7,bl_std,std,0.19273931270776085,0.0022403939823987386,
Cd,augmented,7,amp_cv,cv,0.005102341990621789,0.0005222800156275331,
Cd,augmented,7,pos_cv,cv,0.006766645830284945,0.000390585208950166,
Cd,augmented,7,area_cv,cv,0.0035457646469974624,0.0012427194581243516,
Pb,clean,7,amp_mean,mean,14.826430091253759,0.8863130394774074,
Pb,clean,7,amp_std,std,0.0487327225347154,0.00038635003871113465,
Pb,clean,7,pos_mean,mean,0.16935738720253357,0.010402233559755912,
Pb,clean,7,pos_std,std,0.0019945476767068483,0.0002367800032572584,
Pb,clean,7,wid_mean,mean,0.348105337363786,0.0030244562233514563,
Pb,clean,7,wid_std,std,0.09321312677414886,0.00035399300781952144,
Pb,clean,7,area_mean,mean,2.241032058159538,0.021264615749974663,
Pb,clean,7,area_std,std,0.018477547132194204,0.0023499635807644826,
Pb,clean,7,skew_mean,mean,0.04317823969734448,0.0035566194449521975,
Pb,clean,7,skew_std,std,0.2623627230573699,0.0013131476766793826,
Pb,clean,7,snr_mean,mean,3.4270312263133755,0.04673377909219155,
Pb,clean,7,snr_std,std,0.058135062493391475,0.010430177840698019,
Pb,clean,7,bl_mean,mean,0.06940225725247107,0.0048320203732950505,
Pb,clean,7,bl_std,std,0.017333780378360218,0.0060135469191999425,
Pb,clean,7,amp_cv,cv,0.07832085834798437,0.0003080438092177571,
Pb,clean,7,pos_cv,cv,0.0,4.064116124159567e-05,
Pb,clean,7,area_cv,cv,0.9360023734769196,0.0024405920414826894,
Pb,augmented,7,amp_mean,mean,14.968063964956235,0.8864163802262717,
Pb,augmented,7,amp_std,std,0.0536637024133705,0.00025125101935153093,
Pb,augmented,7,pos_mean,mean,0.14978463507196502,0.010024648001991142,
