metal,condition,measure,group,share_mean,share_CI_lo,share_CI_hi,n_seeds
Cd,augmented,builtin,cv,0.0027051006797464503,0.002179629134666251,0.0032305722248266496,20
Cd,augmented,builtin,mean,0.939578731090978,0.9304135911392454,0.9487438710427106,20
Cd,augmented,builtin,std,0.05771616822927554,0.048787393933908546,0.06664494252464254,20
Cd,augmented,perm,cv,0.0009981488912941718,0.0007669528455087519,0.001229344937079592,20
Cd,augmented,perm,mean,0.9436713274971081,0.9372674085696461,0.9500752464245702,20
Cd,augmented,perm,std,0.05533052361159783,0.04899129330341173,0.06166975391978392,20
Cd,clean,builtin,cv,0.003702432472407883,0.0028965813710642827,0.004508283573751483,20
Cd,clean,builtin,mean,0.9822392704239533,0.9790998022122532,0.9853787386356534,20
Cd,clean,builtin,std,0.014058297103638867,0.011385759398796807,0.016730834808480928,20
Cd,clean,perm,cv,0.002369183320027563,0.001964266835532446,0.00277409980452268,20
Cd,clean,perm,mean,0.9899936039048154,0.9886766037355574,0.9913106040740733,20
Cd,clean,perm,std,0.007637212775157135,0.006519986055698263,0.008754439494616007,20
Pb,augmented,builtin,cv,0.0007294717653324972,0.0006238529477813839,0.0008350905828836105,20
Pb,augmented,builtin,mean,0.9723691823100233,0.9698102859392043,0.9749280786808424,20
Pb,augmented,builtin,std,0.02690134592464416,0.024342471688628558,0.029460220160659762,20
Pb,augmented,perm,cv,0.003259996211105168,0.002131945208862517,0.004388047213347819,20
Pb,augmented,perm,mean,0.9342301138050857,0.9293810856942197,0.9390791419159517,20
Pb,augmented,perm,std,0.06250988998380902,0.05752258802786853,0.06749719193974951,20
Pb,clean,builtin,cv,0.003038126678751496,0.0027340929461311518,0.00334216041137184,20
Pb,clean,builtin,mean,0.97563945292246,0.972555529619459,0.978723376225461,20
Pb,clean,builtin,std,0.021322420398788466,0.018258423927313795,0.024386416870263137,20
Pb,clean,perm,cv,0.03831886106267383,0.03350971738973972,0.04312800473560793,20
Pb,clean,perm,mean,0.944192874833359,0.9384004681707954,0.9499852814959227,20
Pb,clean,perm,std,0.017488264103967106,0.01521184309124756,0.01976468511668665,20
