seed,param,value,metal,MAPE_mid,R2
42,n_estimators,50,Cd,38.89226288506978,0.9641635477268382
42,n_estimators,50,Pb,10.752269960932958,0.9882416668876072
42,n_estimators,100,Cd,38.907636186164524,0.9648674947633408
42,n_estimators,100,Pb,10.5533097801539,0.9881040409092179
42,n_estimators,200,Cd,39.32558140779157,0.9646196050493532
42,n_estimators,200,Pb,10.437955084683598,0.9882314457003265
42,n_estimators,400,Cd,40.04251006362588,0.9647108128213876
42,n_estimators,400,Pb,10.753833576461076,0.9880608966634031
42,max_depth,5,Cd,55.24900741120134,0.9619745329304988
42,max_depth,5,Pb,28.580672715486006,0.9865498102477815
42,max_depth,10,Cd,38.907636186164524,0.9648674947633408
42,max_depth,10,Pb,10.5533097801539,0.9881040409092179
42,max_depth,20,Cd,38.84424087301587,0.9648406492977873
42,max_depth,20,Pb,9.066483026695527,0.9882363047287552
42,max_depth,None,Cd,38.84424087301588,0.9648406492977873
42,max_depth,None,Pb,9.066483026695526,0.9882363047287552
42,min_samples_leaf,1,Cd,33.40814374199194,0.9684739581464978
42,min_samples_leaf,1,Pb,10.257648281849,0.9888345980738693
42,min_samples_leaf,2,Cd,38.90763618616452,0.9648674947633408
42,min_samples_leaf,2,Pb,10.5533097801539,0.9881040409092179
42,min_samples_leaf,4,Cd,47.20902003310936,0.9528711918381828
42,min_samples_leaf,4,Pb,12.3579834452413,0.9871730188509553
7,n_estimators,50,Cd,45.257256706898254,0.9605983469176123
7,n_estimators,50,Pb,9.824824066805197,0.9829990540663576
7,n_estimators,100,Cd,43.0189305012826,0.9625630292100688
7,n_estimators,100,Pb,9.970058771067043,0.9834817994894446
7,n_estimators,200,Cd,44.05800493944051,0.961990921996305
7,n_estimators,200,Pb,9.844796853110983,0.9835598523236427
7,n_estimators,400,Cd,44.34646538780038,0.9621017903287722
7,n_estimators,400,Pb,9.880074744377964,0.9840711878956943
7,max_depth,5,Cd,57.93609835572313,0.9597641467095499
7,max_depth,5,Pb,27.606206610286577,0.9822668766939716
7,max_depth,10,Cd,43.0189305012826,0.9625630292100688
7,max_depth,10,Pb,9.970058771067043,0.9834817994894446
7,max_depth,20,Cd,42.9847478339947,0.9625644750401634
7,max_depth,20,Pb,8.200472817460318,0.9832788789110426
7,max_depth,None,Cd,42.9847478339947,0.9625644750401634
7,max_depth,None,Pb,8.200472817460318,0.9832788789110426
7,min_samples_leaf,1,Cd,35.966085035372565,0.968493912781464
7,min_samples_leaf,1,Pb,9.744705167147668,0.9840235591270394
7,min_samples_leaf,2,Cd,43.0189305012826,0.9625630292100688
7,min_samples_leaf,2,Pb,9.970058771067043,0.9834817994894446
7,min_samples_leaf,4,Cd,50.80476625273777,0.9480316663613704
7,min_samples_leaf,4,Pb,12.109358396735656,0.9822777977201724
123,n_estimators,50,Cd,38.920585269684274,0.9642041053265241
123,n_estimators,50,Pb,9.155080554068515,0.9854164548356431
123,n_estimators,100,Cd,38.28455549293928,0.9653707001905192
123,n_estimators,100,Pb,9.63602729493477,0.9865400066682279
123,n_estimators,200,Cd,38.30131253163481,0.9656354652112571
123,n_estimators,200,Pb,9.585706887242672,0.9865297991489339
123,n_estimators,400,Cd,37.695444029890375,0.9657281820892195
123,n_estimators,400,Pb,9.55472213909507,0.9867588187760686
123,max_depth,5,Cd,53.72984190995876,0.962145338500017
123,max_depth,5,Pb,26.607593236038703,0.9853453136464065
123,max_depth,10,Cd,38.28455549293928,0.9653707001905192
123,max_depth,10,Pb,9.63602729493477,0.9865400066682279
123,max_depth,20,Cd,38.11480406746032,0.9653930071618458
123,max_depth,20,Pb,8.558423214285716,0.9864127956039637
123,max_depth,None,Cd,38.11480406746032,0.9653930071618458
123,max_depth,None,Pb,8.558423214285714,0.9864127956039637
123,min_samples_leaf,1,Cd,32.17063015079435,0.9692242199276113
123,min_samples_leaf,1,Pb,8.95151368222837,0.9865351874711165
123,min_samples_leaf,2,Cd,38.28455549293928,0.9653707001905192
123,min_samples_leaf,2,Pb,9.63602729493477,0.9865400066682279
123,min_samples_leaf,4,Cd,46.14356655720827,0.9526858092812466
123,min_samples_leaf,4,Pb,11.960419818968987,0.9856945838510236
2024,n_estimators,50,Cd,35.56771747072667,0.9654601961851049
2024,n_estimators,50,Pb,9.843798883049237,0.9865368622923587
2024,n_estimators,100,Cd,35.677639175300506,0.9648335696331213
2024,n_estimators,100,Pb,9.970483201838194,0.9865897332446696
2024,n_estimators,200,Cd,36.12253031142277,0.9643354279089494
2024,n_estimators,200,Pb,9.871938694072478,0.986613490228868
2024,n_estimators,400,Cd,35.20163345265856,0.9644240656695708
2024,n_estimators,400,Pb,9.717260619833695,0.9866553267791122
2024,max_depth,5,Cd,50.27893234209736,0.9626610656335057
2024,max_depth,5,Pb,27.228961932814205,0.9855879691951589
2024,max_depth,10,Cd,35.677639175300506,0.9648335696331213
2024,max_depth,10,Pb,9.970483201838194,0.9865897332446696
2024,max_depth,20,Cd,35.80814176587302,0.964830430298789
2024,max_depth,20,Pb,8.812572817460318,0.9865928931974105
2024,max_depth,None,Cd,35.80814176587302,0.964830430298789
2024,max_depth,None,Pb,8.812572817460318,0.9865928931974105
2024,min_samples_leaf,1,Cd,30.270857078232893,0.9695922225942062
2024,min_samples_leaf,1,Pb,9.586806378432192,0.9867292874188391
2024,min_samples_leaf,2,Cd,35.677639175300506,0.9648335696331213
2024,min_samples_leaf,2,Pb,9.970483201838194,0.9865897332446696
2024,min_samples_leaf,4,Cd,42.170084319090265,0.9517829638092163
2024,min_samples_leaf,4,Pb,12.092211125320434,0.9860811497131758
88,n_estimators,50,Cd,56.46908677630488,0.9477492580774436
88,n_estimators,50,Pb,10.247551129784535,0.9862134138472272
88,n_estimators,100,Cd,56.774510552000756,0.9483958467016618
88,n_estimators,100,Pb,10.200369110414545,0.9868466134312409
88,n_estimators,200,Cd,55.745193799730195,0.9490452362568496
88,n_estimators,200,Pb,10.591061111564882,0.9871248613890202
88,n_estimators,400,Cd,56.77591038972081,0.9481363178303325
88,n_estimators,400,Pb,10.464578704555674,0.9870863217924372
88,max_depth,5,Cd,70.30044808170018,0.946238600523647
88,max_depth,5,Pb,28.509844332299625,0.9859006843405049
88,max_depth,10,Cd,56.774510552000756,0.9483958467016618
88,max_depth,10,Pb,10.200369110414547,0.9868466134312409
88,max_depth,20,Cd,56.61151041666667,0.9484385456476424
88,max_depth,20,Pb,9.074822189153439,0.9866272667403975
88,max_depth,None,Cd,56.61151041666667,0.9484385456476424
88,max_depth,None,Pb,9.074822189153439,0.9866272667403976
88,min_samples_leaf,1,Cd,55.0126445379517,0.9517304657557761
88,min_samples_leaf,1,Pb,9.534700060380944,0.9876051528228809
88,min_samples_leaf,2,Cd,56.774510552000756,0.9483958467016618
88,min_samples_leaf,2,Pb,10.200369110414545,0.9868466134312409
88,min_samples_leaf,4,Cd,59.043179109231176,0.9339180238512498
88,min_samples_leaf,4,Pb,12.814097459154212,0.9853086499168229
314,n_estimators,50,Cd,37.71134621368835,0.9564235454616824
314,n_estimators,50,Pb,11.187118100698157,0.9872360050124572
314,n_estimators,100,Cd,38.17191861980049,0.9579746584156181
314,n_estimators,100,Pb,11.361416394259807,0.9875343626988646
314,n_estimators,200,Cd,39.99922656724134,0.9580543105431456
314,n_estimators,200,Pb,11.176949601429069,0.987468732331381
314,n_estimators,400,Cd,38.45654459657293,0.9577687138462683
314,n_estimators,400,Pb,10.700663716657143,0.9874959372092131
314,max_depth,5,Cd,52.98362415307243,0.9557341080161046
314,max_depth,5,Pb,28.874021082941855,0.9867063316906381
314,max_depth,10,Cd,38.1719186198005,0.9579746584156181
314,max_depth,10,Pb,11.361416394259807,0.9875343626988646
314,max_depth,20,Cd,38.28142896825396,0.9580933828853612
314,max_depth,20,Pb,9.872420006613755,0.9872921399249374
314,max_depth,None,Cd,38.28142896825396,0.9580933828853612
314,max_depth,None,Pb,9.872420006613757,0.9872921399249374
314,min_samples_leaf,1,Cd,33.963212307749274,0.9601412263366333
314,min_samples_leaf,1,Pb,10.791475459518876,0.987586504396394
314,min_samples_leaf,2,Cd,38.17191861980049,0.9579746584156181
314,min_samples_leaf,2,Pb,11.361416394259807,0.9875343626988646
314,min_samples_leaf,4,Cd,44.91114805384754,0.9469399271033893
314,min_samples_leaf,4,Pb,13.181469469891576,0.9861698775536628
1,n_estimators,50,Cd,32.90069616071825,0.9614873360724184
1,n_estimators,50,Pb,10.64755316129868,0.9873193677085538
1,n_estimators,100,Cd,33.16172531447837,0.962075991076728
1,n_estimators,100,Pb,10.43755957586335,0.9875713449949959
1,n_estimators,200,Cd,33.33617261625958,0.9620230197896587
1,n_estimators,200,Pb,10.475420008670534,0.9879895627402537
1,n_estimators,400,Cd,32.992247445506855,0.9624892494840741
1,n_estimators,400,Pb,10.40067599707681,0.9879259914299567
