metal,condition,seed,default_MAPE_mid,tuned_MAPE_mid,improvement_pct
Cd,clean,42,38.907636186164524,33.384622300384805,-14.195192582127852
Pb,clean,42,10.553309780153901,8.565999999999999,-18.83115175763296
Cd,augmented,42,12.61333013473635,12.149918841314934,-3.6739805306864133
Pb,augmented,42,9.994896078072887,9.894697371315528,-1.0024987351011894
Cd,clean,7,43.0189305012826,36.39794659562112,-15.390861252266774
Pb,clean,7,9.970058771067041,7.485624999999999,-24.918948103664455
Cd,augmented,7,13.309236327938109,12.291395683020683,-7.647626203622394
Pb,augmented,7,9.718906729679656,9.108666666666666,-6.278896176145356
Cd,clean,123,38.284555492939276,31.191874999999996,-18.526218736553872
Pb,clean,123,9.63602729493477,7.493802083333334,-22.231414939302933
Cd,augmented,123,12.98109591621629,11.30047476851852,-12.946681532476001
Pb,augmented,123,8.639831049922766,8.077096094877344,-6.5132634167707675
Cd,clean,2024,35.6776391753005,30.038989583333333,-15.804435837982192
Pb,clean,2024,9.970483201838196,7.8193125000000006,-21.5753906635297
Cd,augmented,2024,19.371076839810534,17.73977836099086,-8.42131024676493
Pb,augmented,2024,10.605205200646031,10.128958333333333,-4.490689791496789
Cd,clean,88,56.77451055200077,54.17858333333332,-4.572346275517061
Pb,clean,88,10.200369110414545,7.985625000000001,-21.712391840343283
Cd,augmented,88,17.09191315495566,14.191422895622896,-16.969956686749192
Pb,augmented,88,11.299024922472132,10.434468749999999,-7.651599836306717
Cd,clean,314,38.17191861980049,32.24379166666667,-15.530073330028518
Pb,clean,314,11.361416394259805,9.065833333333334,-20.20507814576959
Cd,augmented,314,20.139897331938815,18.20176392195767,-9.623352979598161
Pb,augmented,314,10.069970514943314,9.8610717870671,-2.07447209071982
Cd,clean,1,33.16172531447837,27.861053789381916,-15.98430562592648
Pb,clean,1,10.437559575863348,8.955606119227994,-14.198275428888019
Cd,augmented,1,13.805949334390203,12.963254734848483,-6.103851166848718
Pb,augmented,1,9.648074126931846,9.25657380952381,-4.057807934074573
Cd,clean,999,35.12674058302681,28.05260416666667,-20.138892191376144
Pb,clean,999,10.272492037005232,7.7299791666666655,-24.750692053880556
Cd,augmented,999,13.916419897525758,14.600666666666665,4.9168304361279125
Pb,augmented,999,11.382219465277378,10.970671924603174,-3.615705547847433
Cd,clean,55,40.81660657671193,31.77228125,-22.158445018484727
Pb,clean,55,10.452283270745944,8.03290625,-23.146875740703894
Cd,augmented,55,20.614029646573055,19.346954587542086,-6.14666361092389
Pb,augmented,55,8.53548180939445,7.682737103174603,-9.99058665067139
Cd,clean,7777,41.56466429104757,33.2562310455748,-19.989174427813886
Pb,clean,7777,9.876571687246733,7.579677083333333,-23.2559908098404
Cd,augmented,7777,21.760681316947284,21.555351914983163,-0.9435798400494485
Pb,augmented,7777,10.064290213379463,9.579024305555556,-4.8216605198724745
