metal,protocol,seed,MAPE_mid,R2
Cd,A_clean,42,38.90763618616452,0.9648674947633408
Cd,B_noisy,42,12.61333013473635,0.9659289612179951
Cd,C_trainonly,42,684.70520940042,-0.041808958021953835
Pb,A_clean,42,10.553309780153901,0.9881040409092179
Pb,B_noisy,42,9.994896078072887,0.9876405888481665
Pb,C_trainonly,42,84.84102938081813,0.9729728496523067
Cd,A_clean,7,43.0189305012826,0.9625630292100688
Cd,B_noisy,7,13.309236327938109,0.9651309765694795
Cd,C_trainonly,7,627.6685469719251,0.07048025598667362
Pb,A_clean,7,9.970058771067041,0.9834817994894446
Pb,B_noisy,7,9.718906729679656,0.9836128813967361
Pb,C_trainonly,7,58.65442670924112,0.9769367421267141
Cd,A_clean,123,38.284555492939276,0.9653707001905192
Cd,B_noisy,123,12.98109591621629,0.9660968393778335
Cd,C_trainonly,123,649.1534757621955,0.040478186383635206
Pb,A_clean,123,9.636027294934767,0.9865400066682279
Pb,B_noisy,123,8.639831049922766,0.9866063023600925
Pb,C_trainonly,123,56.499641480567,0.9814951639320126
Cd,A_clean,2024,35.677639175300506,0.9648335696331213
Cd,B_noisy,2024,19.37107683981054,0.9635015697302705
Cd,C_trainonly,2024,612.5839144991515,0.1119180239964328
Pb,A_clean,2024,9.970483201838196,0.9865897332446696
Pb,B_noisy,2024,10.605205200646031,0.9854360640352365
Pb,C_trainonly,2024,73.73769858256064,0.9765113984806708
Cd,A_clean,88,56.77451055200075,0.9483958467016618
Cd,B_noisy,88,17.091913154955655,0.9695199721184108
Cd,C_trainonly,88,623.2556711224429,0.20664350732243786
Pb,A_clean,88,10.200369110414545,0.9868466134312409
Pb,B_noisy,88,11.299024922472132,0.9875509763297035
Pb,C_trainonly,88,70.67400897828215,0.9804958048962662
Cd,A_clean,314,38.17191861980049,0.9579746584156181
Cd,B_noisy,314,20.13989733193882,0.9686111646754042
Cd,C_trainonly,314,642.8189910398777,-0.030970776689592805
Pb,A_clean,314,11.361416394259805,0.9875343626988646
Pb,B_noisy,314,10.069970514943314,0.9874219571952645
Pb,C_trainonly,314,70.66799349222772,0.977778413658513
Cd,A_clean,1,33.16172531447837,0.962075991076728
Cd,B_noisy,1,13.805949334390203,0.9661920792908164
Cd,C_trainonly,1,606.4394408695604,0.11901824743040412
Pb,A_clean,1,10.43755957586335,0.9875713449949959
Pb,B_noisy,1,9.648074126931846,0.9869964287730288
Pb,C_trainonly,1,54.62521546181931,0.9803123839731301
Cd,A_clean,999,35.12674058302681,0.9616215899268189
Cd,B_noisy,999,13.916419897525758,0.973481655465039
Cd,C_trainonly,999,628.4709004112432,0.07408190191069419
Pb,A_clean,999,10.272492037005232,0.9856498020957551
Pb,B_noisy,999,11.38221946527738,0.9856148113399552
Pb,C_trainonly,999,82.68228366474032,0.9728133774554438
Cd,A_clean,55,40.816606576711926,0.9458309980009463
Cd,B_noisy,55,20.61402964657306,0.9649409708658627
Cd,C_trainonly,55,577.0935630180211,0.1525798256181875
Pb,A_clean,55,10.452283270745944,0.9848955546514544
Pb,B_noisy,55,8.53548180939445,0.986070483607199
Pb,C_trainonly,55,103.66214396962683,0.9693038580531707
Cd,A_clean,7777,41.56466429104757,0.9577154205797409
Cd,B_noisy,7777,21.760681316947284,0.96996294921603
Cd,C_trainonly,7777,701.5829968996084,-0.05247541937476341
Pb,A_clean,7777,9.87657168724673,0.9868288513955908
Pb,B_noisy,7777,10.064290213379463,0.9861584772168197
Pb,C_trainonly,7777,77.99004191726736,0.9770263637712301
Cd,A_clean,13,31.151422562308895,0.9673082837831544
Cd,B_noisy,13,18.592483123644307,0.9664553529471427
Cd,C_trainonly,13,620.4755304153966,0.0797550990907
Pb,A_clean,13,10.24917758729308,0.9871691622071819
Pb,B_noisy,13,10.024602170084814,0.9863281774317165
Pb,C_trainonly,13,97.26901885378415,0.9716384949057344
Cd,A_clean,21,38.32910490614876,0.9643415406097187
Cd,B_noisy,21,20.666158797085615,0.975005581848497
Cd,C_trainonly,21,633.8546232342055,0.03945384215885961
Pb,A_clean,21,9.549110555462223,0.9883065268903757
Pb,B_noisy,21,9.408690886157931,0.987651172791655
Pb,C_trainonly,21,65.78707032326584,0.9780950003330885
Cd,A_clean,34,37.90510394493154,0.9638281691142029
Cd,B_noisy,34,12.510344361056552,0.9694548761452951
Cd,C_trainonly,34,595.0931714049736,0.1715944431840486
Pb,A_clean,34,10.076576102551241,0.9870047579797471
Pb,B_noisy,34,9.901745272977132,0.9862366414800406
