method,noise_type,snr_db,seed,metal,R2,MAPE,MAPE_low,MAPE_mid,MAPE_high
multiscan,baseline,0,42,Cd,0.9648674947633408,33.3954284876372,58.62157157500632,38.90763618616453,8.698837449144708
multiscan,baseline,0,42,Pb,0.988104040909218,38.00307848480179,102.31274985250448,10.5533097801539,2.711531481481482
multiscan,baseline,0,7,Cd,0.9625630292100688,34.45300925629359,58.38457550648798,43.0189305012826,8.799423217805618
multiscan,baseline,0,7,Pb,0.9834817994894446,35.02006020540307,93.75865015491114,9.970058771067045,2.771236203703704
multiscan,baseline,0,123,Cd,0.9653707001905192,34.01019923243921,60.85556556336841,38.28455549293928,8.78948978299819
multiscan,baseline,0,123,Pb,0.986540006668228,40.34828020473624,109.33323661953072,9.63602729493477,3.335651798941798
multiscan,baseline,0,2024,Cd,0.9648335696331212,32.16996385290724,57.296126040024106,35.677639175300506,8.89304514871433
multiscan,baseline,0,2024,Pb,0.9865897332446696,37.93423570376653,102.084914518083,9.970483201838196,3.11783835978836
multiscan,baseline,0,88,Cd,0.9483958467016618,38.20294964334165,58.28693388168566,56.77451055200076,9.085255505615594
multiscan,baseline,0,88,Pb,0.9868466134312408,36.27241627805146,97.04254732360052,10.200369110414544,3.012005185185185
multiscan,baseline,0,314,Cd,0.957974658415618,35.392816887080784,63.862172774637166,38.17191861980049,9.815619158970655
multiscan,baseline,0,314,Pb,0.9875343626988646,38.52438917067876,103.20995065059668,11.361416394259807,2.728403121693122
multiscan,baseline,0,1,Cd,0.962075991076728,35.459329953126414,68.56562413841833,33.161725314478375,9.402487891148509
multiscan,baseline,0,1,Pb,0.987571344994996,37.566630910571696,100.9391281503895,10.437559575863352,2.8422641005291007
multiscan,baseline,0,999,Cd,0.9616215899268188,31.486924957666577,55.47861199318788,35.126740583026816,9.067308677825327
multiscan,baseline,0,999,Pb,0.9856498020957551,36.87124360226848,98.77806035180444,10.272492037005234,3.014730687830688
multiscan,baseline,0,55,Cd,0.9458309980009464,33.48609272243953,56.513059586114295,40.81660657671194,9.409944433195642
multiscan,baseline,0,55,Pb,0.9848955546514544,38.18523747845925,102.1920126441778,10.452283270745944,3.334894312169313
multiscan,baseline,0,7777,Cd,0.9577154205797408,34.38136519221087,58.720615573337895,41.56466429104758,9.309790475380556
multiscan,baseline,0,7777,Pb,0.9868288513955908,38.8636104780846,105.14138062413896,9.876571687246733,2.956827883597884
multiscan,baseline,0,13,Cd,0.9673082837831544,33.61463345836416,65.63403079118436,31.151422562308905,8.573942945050858
multiscan,baseline,0,13,Pb,0.987169162207182,33.60720419008627,89.28665050042434,10.24917758729308,2.779683333333333
multiscan,baseline,0,21,Cd,0.9643415406097188,32.934495736587664,58.20251972662491,38.32910490614875,8.281402965182565
multiscan,baseline,0,21,Pb,0.9883065268903756,34.33245607684539,91.91540375442034,9.549110555462224,2.868896693121693
multiscan,baseline,0,34,Cd,0.9638281691142028,33.12355015724419,57.86740324167514,37.90510394493153,9.315970061760146
multiscan,baseline,0,34,Pb,0.9870047579797472,34.88650554677136,93.07479483763818,10.076576102551243,2.9362174338624336
multiscan,baseline,0,101,Cd,0.95958362853724,36.73738555609224,68.28370648839656,39.25923854949401,8.76754945023747
multiscan,baseline,0,101,Pb,0.9853087795207768,36.60317972204222,97.92830219451989,10.430272325619589,2.9475159259259254
multiscan,baseline,0,202,Cd,0.9509452809886474,37.02749767366228,56.965533427860805,55.85562852761785,7.860380642526455
multiscan,baseline,0,202,Pb,0.9875501528756264,36.17254918185792,96.7399867170504,10.485528376924048,2.8243651058201067
multiscan,baseline,0,303,Cd,0.9607413720046948,33.75788337533606,56.06350147084684,43.24687407500118,8.843874495966997
multiscan,baseline,0,303,Pb,0.9845776612542216,36.61398171383342,97.6847977665724,10.367996123421694,3.2189587301587306
multiscan,baseline,0,404,Cd,0.9521857019767682,35.82656820561898,56.11257868815608,50.79949744354808,8.939606644885329
multiscan,baseline,0,404,Pb,0.9870266434144832,34.9241335629468,93.06757264069716,9.943463869702866,3.12504746031746
multiscan,baseline,0,505,Cd,0.953105242462729,30.55074378507472,53.88475686034345,32.903394067083205,9.537299367678456
